Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Ziad,Aboultaif,Edmonton Manning,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Dan,Albas,Central Okanagan—Similkameen—Nicola,British Columbia,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Harold,Albrecht,Kitchener—Conestoga,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,John,Aldag,Cloverdale—Langley City,British Columbia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Omar,Alghabra,Mississauga Centre,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Leona,Alleslev,Aurora—Oak Ridges—Richmond Hill,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Dean,Allison,Niagara West,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Rona,Ambrose,Sturgeon River—Parkland,Alberta,Conservative,2015-10-19 12:00:00 AM,2017-07-04 11:59:59 PM
,William,Amos,Pontiac,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Gary,Anandasangaree,Scarborough—Rouge Park,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,David,Anderson,Cypress Hills—Grasslands,Saskatchewan,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Charlie,Angus,Timmins—James Bay,Ontario,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Mel,Arnold,North Okanagan—Shuswap,British Columbia,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,René,Arseneault,Madawaska—Restigouche,New Brunswick,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Chandra,Arya,Nepean,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Niki,Ashton,Churchill—Keewatinook Aski,Manitoba,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Robert,Aubin,Trois-Rivières,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Ramez,Ayoub,Thérèse-De Blainville,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Vance,Badawey,Niagara Centre,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Larry,Bagnell,Yukon,Yukon,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Navdeep,Bains,Mississauga—Malton,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,John,Barlow,Foothills,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Michael,Barrett,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario,Conservative,2018-12-03 12:00:00 AM,2019-10-20 11:59:59 PM
,Xavier,Barsalou-Duval,Pierre-Boucher—Les Patriotes—Verchères,Quebec,Bloc Québécois,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Frank,Baylis,Pierrefonds—Dollard,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Mario,Beaulieu,La Pointe-de-l'Île,Quebec,Bloc Québécois,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Terry,Beech,Burnaby North—Seymour,British Columbia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Mauril,Bélanger,Ottawa—Vanier,Ontario,Liberal,2015-10-19 12:00:00 AM,2016-08-15 11:59:59 PM
,Rachel,Bendayan,Outremont,Quebec,Liberal,2019-02-25 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Carolyn,Bennett,Toronto—St. Paul's,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Sheri,Benson,Saskatoon West,Saskatchewan,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
