basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4777576,ca.proc.d.2019-05-03.p5886490,2019-05-03,,,,stagedirection,Government Orders,"An Act Respecting First Nations, Inuit and Métis Children, Youth and Families",,"The House resumed from March 19 consideration of the motion that Bill C-92, An Act respecting First Nations, Inuit and Métis children, youth and families, be read the second time and referred to a committee.",,,,
4777577,ca.proc.d.2019-05-03.10598400,2019-05-03,ffeab63b-041e-4d87-bdad-1b79ff9a98c5,242092,"Mr. Dan Vandal (Parliamentary Secretary to the Minister of Indigenous Services, Lib.)",,Government Orders,"An Act Respecting First Nations, Inuit and Métis Children, Youth and Families",,"Mr. Speaker, I would like to begin by acknowledging that we are gathered on the traditional territory of the Algonquin people.
I rise to speak to Bill C-92, which, if passed, would be a significant step forward in the process of reconciliation and in the renewal of the relationship between Canada and indigenous peoples.
Bill C-92 sets out the legislative framework and the principles needed to guide work among first nations, Inuit and Métis nations, provincial and territorial partners, and the Government of Canada to achieve truly meaningful reform in child and family services.
The bill before us follows wide-ranging and intensive engagement with indigenous partners, provincial and territorial representatives, youth, in particular youth who have lived experience in the child and family welfare system, and experts and advocates.
In January 2018, our government held an emergency national meeting on indigenous child and family services to collaborate on finding solutions to keep families together. In the report on the emergency meeting, the overarching theme that emerged was summarized as follows: “It is clear that the time is now to work towards transferring jurisdictional control from the federal government to First Nations, the Inuit and the Métis Nation through legislation”.
The minutes go on to say:
 Legislative reforms are needed that respect and promote the rights of Indigenous peoples to lead the systems, developing standards and practices that reflect Indigenous laws and cultural practices, where the First Nations, Inuit and the Métis Nation have the right to look after their children and children and youth have rights to be raised in language and culture. 
 Legislative reforms are needed that respect and promote the rights of Indigenous peoples to lead the systems, developing standards and practices that reflect Indigenous laws and cultural practices. 
At the end of the emergency meeting, the Government of Canada made six commitments to address the overrepresentation of indigenous children and youth in care in Canada.
First, it will continue to fully implement the orders from the Canadian Human Rights Tribunal, including Jordan's principle, and reform first nations child and family services, including by moving to a flexible funding model.
Second, it will work with partners to shift the focus of programming to culturally appropriate prevention, early intervention and family reunification.
Third, it will also work with our partners to support communities in drawing down jurisdiction in child and family services, including exploring co-developed federal legislation.
Fourth, it will participate in and accelerate the work at tripartite and technical tables that are in place across the country in supporting reform.
Fifth, it will support Inuit and Métis leadership in their work to advance meaningful, culturally appropriate reform of child and family services.
Sixth, it will create a data strategy with the provinces, territories and indigenous partners to increase interjurisdictional data collection, sharing and reporting to better understand the rates and reasons for apprehension.
Similar calls for legislation have come from call to action 4 of the Truth and Reconciliation Commission as well as the National Advisory Committee on First Nations Child and Family Services and were reflected in the Assembly of First Nations' resolutions of May and December 2018, to name a few.
Throughout the summer and fall of that year, this government actively engaged with national, regional and community organizations and with individuals, nearly 2,000 across 65 meetings, to co-develop a legislative approach that has brought us to this point. 
As a result of this intensive engagement process, on November 30, 2018, the former minister of Indigenous Services stood together with national indigenous leaders to announce that the Government of Canada would introduce co-developed federal legislation on indigenous child and family services.
I am heartened to share the words of Senator Murray Sinclair, former chair of the Truth and Reconciliation Commission, who called these engagements “a model for implementing the Truth and Reconciliation Commissions Call-to-Actions in a meaningful and direct way.”
This is engagement that will continue as the legislation is implemented and afterward through the exploration of a national transition governance structure, with a distinctions-based underpinning, that would have representation from indigenous partners, provinces and territories.
The group could, for example, identify tools and processes to help increase the capacity of communities as they make progress toward assuming responsibility for child and family services. Such a committee could also assess gaps and recommend mechanisms, as needed, to assist with implementation, in the spirit of partnership and in the spirit of co-operation. In addition, Bill C-92 would provide a review of the legislation every five years, in collaboration with Métis, Inuit and first nation partners. 
The bill is entirely consistent with our government's commitment to implement the United Nations Declaration on the Rights of Indigenous Peoples, the Truth and Reconciliation Commission's calls to action and our commitments under the United Nations Convention on the Rights of the Child.
The bill has two objectives. First is to affirm the inherent right of indigenous peoples to self-determination in relation to child and family services. The bill is formed on that foundation and would provide flexible pathways for indigenous groups across Canada to determine a way forward that would best meet the needs of their children, families and communities. Second, the bill would set out guiding principles that would guide the provision of child and family services to indigenous children in nearly every region and every jurisdiction throughout this great country.
These principles are national in scope. They are a base standard to ensure that all services for first nation, Inuit and Métis children are provided in a manner that takes into account the individual child's needs, including the need to be raised with a strong connection to the child's family, culture, language and community. 
These principles are the following: the best interests of the child, cultural continuity and substantive equality. Setting these standards is in line with TRC call to action 4, which calls for the establishment of national standards, and with what we heard from partners and community members during the extensive engagement process across Canada. To be clear, these are minimum base standards that can be built upon and adapted by communities to meet their unique cultures as well as their unique traditions. 
Participants also agreed that the proposed legislation should emphasize the importance of keeping indigenous families together through the implementation of prevention services and early intervention, measures that promote family preservation and reunification.
The legislation would propose an order of preference for placement: first, the family; then the extended family, other members of the community and other indigenous families; then a non-indigenous adult. The placement order is intended to ensure that children remain connected to their culture and their community and that they preserve their attachment and emotional ties to the family.
The bill would establish the importance of preventive care over apprehension. This legislation would give priority to child and family services that promote preventive care, including prenatal services, over the provision of services that promote the removal of a child at the time of birth.
Focusing on preventive care would help promote bonding between mothers and newborns and family unification and attachment and would prevent the removal of newborns. These principles, child-centred and family-centred, were referenced repeatedly throughout the engagement sessions, as was the critical importance of prevention programs.
It is clear that services provided to indigenous children and families should respect and respond in a way that is tailored to their needs and unique cultural experiences. Considerable emphasis was placed on the importance of culture and maintaining the health and well-being of children and families, including through community support networks and the involvement of elders.
It was also clear from the engagement process that federal legislation must respect the inherent right of first nations, Métis and Inuit peoples to self-determination. 
This legislation starts at the point of affirming the inherent right of indigenous peoples to oversee child and family services and sets out flexible pathways for indigenous groups to create their own laws that best meet the needs of their children and their communities. Indeed, if an indigenous group chose to establish its own laws through this mechanism, the legislation makes it clear that in the case of a conflict between indigenous law and a provincial or a federal law, the indigenous law would prevail. For added clarity, the bill would not prevail over any existing treaties, self-government agreements or other agreements that already address indigenous child and family services, though communities could choose to adopt it in these situations.
Partners emphasized that the concept of one-size-fits-all is entirely inappropriate in this situation. Any federal legislation on child and family services must recognize that the needs, desires and priorities of indigenous communities in child and family services vary from one community to another and from one province to another and can evolve and change over time. As a result, there was broad consensus that federal, provincial and territorial mechanisms to support indigenous child and family services should have the flexibility needed to address a range of circumstances and variables.
Importantly, the bill also states that an indigenous child would not be apprehended on the basis of socio-economic conditions alone. This is something we heard loud and clear from partners during the consultation process. Indeed, the principle of substantive equality, the third of the guiding principles, is critical to ensuring that the focus of all providers remains on achieving equitable outcomes and equal opportunities for indigenous children and their families. 
Substantive equality is the underpinning of other important initiatives, such as Jordan's principle, which ensures that first nations children across Canada can access the services, products and supports they need when they need them. Since 2016, our government has committed $680 million to support requests through Jordan's principle, which has helped provide first nations youth with a wide range of services to meet their health, social and educational needs.
The positive impact is undeniable. As of January 31 of this year, more than 214,000 requests for services and supports have been approved for first nations children under Jordan's principle. Our government is committed to ensuring that this important work continues. I had the pleasure of being with the minister last week in Winnipeg, with several other MPs, where he announced $1.2 billion for Jordan's principle going forward.
We are all aware that indigenous peoples have been treated atrociously. We are all familiar with the horror of residential schools and the 60s scoop. 
Even so, first nations, Inuit and Métis children are still being taken away from their families, their communities, their language and their culture at an alarming and unjustifiable rate. More than half of the foster children in Canada are indigenous. There are many factors involved, of course, but there is no doubt that the system is failing indigenous children, indigenous families and indigenous communities.
We are all aware of the appalling treatment of indigenous peoples, exemplified by the horror of residential schools and by the tragedy of the sixties scoop. Over the course of the last three years, significant investments have been made to begin addressing these issues. Our government has nearly doubled the annual funding for indigenous child and family services since we took office, bringing it to more than $1.1 billion annually. 
Through budget 2016, we provided $635 million over five years as a first step in addressing funding gaps in first nations child and family services. These funds have been used to support agency service providers, including enhanced funding for smaller agencies. It has supported the rollout of prevention-focused funding models across the country and more front-line service providers.
 These funds are already at work. For example, last August, we announced that the Huu-ay-aht First Nation in British Columbia would receive $4.2 million, close to $850,000 a year for five years, to support new child and family services initiatives. Some 20% of the Huu-ay-aht First Nation children were in a form of government care, a situation that led the community leadership to declare a public health emergency and undertake a major study to identify solutions. With funding from Canada and other partners, the Huu-ay-aht First Nation is now implementing the 30 recommendations of this study, entitled “Safe, Healthy and Connected, Bringing Huu-ay-aht Children Home”. 
Existing pregnancy support and parenting education programs are being expanded. Family and protection support workers are being hired. New opportunities for youth engagement and cultural awareness are being developed. In February 2018, we also changed policies to fund the actual costs of indigenous-led CFS agencies, meaning that they can focus on prevention and services to better support families and reduce the number of children in care.
 In budget 2018, the government committed a further $1.4 billion in new funding over six years to address the funding pressures facing first nations CFS agencies. This includes funding to increase prevention resources for communities so that children are safe and families can stay together. As part of the ongoing efforts toward program reform, a total of $105 million of funding in the current year has been allocated to the community well-being and jurisdiction initiative. This new funding stream focuses on supporting first nations communities to undertake prevention activities to help families at risk stay together in communities whenever possible and, at the same time, allow communities to exercise their rightful jurisdiction over child and family services.
Funding and innovation can only go so far when dealing with a broken and failing system. It is failing generations of indigenous children and it must be reformed. The existing indigenous child and family services system has led to what has rightly been described as a humanitarian crisis. This bill represents a critical step in addressing that crisis, and I urge all members to join me in supporting it.",Liberal,Saint Boniface—Saint Vital,Dan Vandal,http://www.parl.gc.ca/Parliamentarians/en/members/dan-vandal(242092)
4777578,ca.proc.d.2019-05-03.10598409,2019-05-03,68bad047-6aec-43e2-b870-7bc501110873,218373,"Mr. Ziad Aboultaif (Edmonton Manning, CPC)",,Government Orders,"An Act Respecting First Nations, Inuit and Métis Children, Youth and Families",,"Mr. Speaker, I have listened to what the hon. member on the government side has listed with regard to the achievements of the indigenous communities and the programs.
The question is very obvious, from Canadians and from indigenous communities. Despite all these achievements, we still hear lots of complaints and dissatisfaction from the same communities over the government's performance. Can the hon. member explain how those two results match: what he is saying and what we are hearing from the public?",Conservative,Edmonton Manning,Ziad Aboultaif,http://www.parl.gc.ca/Parliamentarians/en/members/ziad-aboultaif(218373)
4777579,ca.proc.d.2019-05-03.10598412,2019-05-03,ffeab63b-041e-4d87-bdad-1b79ff9a98c5,242092,Mr. Dan Vandal,,Government Orders,"An Act Respecting First Nations, Inuit and Métis Children, Youth and Families",,"Mr. Speaker, let me first say that I am very proud of the consultation process we had with indigenous communities across Canada. There were over 65 individual meetings across Canada, and well over 2,000 people participated. I am proud to say that we have the support of the Assembly of First Nations, the Métis National Council, as well as ITK. However, diversity in indigenous communities is sometimes underestimated. We are committed. We know there are concerns out there. We have started a pre-study at the indigenous and northern affairs committee. I note that the Senate has also started a pre-study.
 We are going to use the committee phase the way it should be used: to listen to people's concerns and support. When it is applicable and when it makes sense, the committee is open to amendments. We are committed to the co-development process, not only to this point but beyond, at committee and working with other levels of government and certainly the different nations, whether it is Métis, first nations or Inuit.",Liberal,Saint Boniface—Saint Vital,Dan Vandal,http://www.parl.gc.ca/Parliamentarians/en/members/dan-vandal(242092)
4777580,ca.proc.d.2019-05-03.10598414,2019-05-03,2b91ab47-7930-4848-ad6e-fde1a50a9569,240823,"Ms. Rachel Blaney (North Island—Powell River, NDP)",,Government Orders,"An Act Respecting First Nations, Inuit and Métis Children, Youth and Families",,"Mr. Speaker, I share the time with the member in committee listening to testimony on this particular piece of legislation and the pre-study that is occurring right now.
One major concern that has come forward is the fact that the funding is not mentioned in a wholesome way within the legislation directly. There have been several recommendations about how to do that, but the strongest recommendation is really about making sure that the language is in the legislation, not in the preamble but in the legislation. 
Cindy Blackstock, the amazing woman who has done so much work on this, not only in her own organization but consulting and working with organizations and communities across Canada, has suggested that we make sure that the language in the Canadian Human Rights Tribunal decision around equality of funding is included in the legislation. It is not about a number figure; it is about the principles that need to be in the legislation to make sure that indigenous children in this country are finally funded at the same level as all other Canadian children.
I would like the member to speak to that important piece, because if that is not done, then we will not see what we all want to see in the House, which is all Canadian children treated exactly the same and given a chance at a hopeful, bright future.",New Democratic Party,North Island—Powell River,Rachel Blaney,http://www.parl.gc.ca/Parliamentarians/en/members/rachel-blaney(240823)
4777581,ca.proc.d.2019-05-03.10598416,2019-05-03,ffeab63b-041e-4d87-bdad-1b79ff9a98c5,242092,Mr. Dan Vandal,,Government Orders,"An Act Respecting First Nations, Inuit and Métis Children, Youth and Families",,"Mr. Speaker, I want to thank the member for her commitment to this bill and her positive contributions at committee toward making this a better bill.
There are a couple of things. Number one, it is important to understand that we are reforming the way child welfare is delivered across Canada in indigenous communities. That may mean that some nations will want to put a large emphasis on prevention and less on removal. Initially, the thought was that when we are revamping the system in partnership with indigenous communities, it would be premature to identify specific funding in the bill. 
It is also important to note that since we were elected in 2015, we have doubled the funding for the indigenous child welfare system to $1.2 billion a year. That is significant. That fact alone demonstrates that we are serious.
I was at those committee meetings and heard the recommendations. I cannot foretell what the committee is going to make a recommendation on, but at this point the legislative process is unfolding as it should and that is going to be considered in the final recommendations of not only the committee in the House of Commons but the committee in the Senate.",Liberal,Saint Boniface—Saint Vital,Dan Vandal,http://www.parl.gc.ca/Parliamentarians/en/members/dan-vandal(242092)
4777582,ca.proc.d.2019-05-03.10598420,2019-05-03,07cf5767-802c-406c-92a7-7dc92af79b40,242079,"Mr. Kevin Lamoureux (Parliamentary Secretary to the Leader of the Government in the House of Commons, Lib.)",,Government Orders,"An Act Respecting First Nations, Inuit and Métis Children, Youth and Families",,"Mr. Speaker, I want to talk about the need for the legislation. My colleague and I are from the province of Manitoba, where I believe the need is the greatest. In Manitoba, there are well over 10,000 children in foster care. Based on a provincial population of 1.2 million or 1.3 million people, there are over 10,000 children in foster care and the vast majority of those children are of indigenous background. When we look at this legislation, we recognize that at the very least, it is providing hope, in that finally there is a government, whether at the provincial level or the federal level, that is recognizing the need to take action. When we talk about reconciliation, this is a very positive step forward with respect to that issue.
I would ask my colleague and friend to provide his thoughts on that.",Liberal,Winnipeg North,Kevin Lamoureux,http://www.parl.gc.ca/Parliamentarians/en/members/kevin-lamoureux(242079)
4777583,ca.proc.d.2019-05-03.10598422,2019-05-03,ffeab63b-041e-4d87-bdad-1b79ff9a98c5,242092,Mr. Dan Vandal,,Government Orders,"An Act Respecting First Nations, Inuit and Métis Children, Youth and Families",,"Mr. Speaker, the member for Winnipeg North is absolutely right. Every day in this country indigenous children are separated from their families and communities. That simply has to stop. 
This is the start of a process. Nobody is saying that this is going to be the be-all and end-all to address the issue. We understand that; first nations understand that; Métis and Inuit communities understand that.
Indigenous children across Canada make up more than 50% of all children in care, while at the same time indigenous children make up 8% of the entire population of children across the country. That is not right. We need to change that. We know that the issue really comes down to the social determinants of health and well-being. That is why, over the last four years, our government has invested over $21 billion of new money, not only in child and family services, but in health, education and infrastructure services, to try to close the gap in indigenous communities on the basic determinants of health. This is the beginning of a process. This is not the end.",Liberal,Saint Boniface—Saint Vital,Dan Vandal,http://www.parl.gc.ca/Parliamentarians/en/members/dan-vandal(242092)
4777584,ca.proc.d.2019-05-03.10598425,2019-05-03,e277e13e-59ec-425f-a957-eb5e54d8cb62,234316,"Mr. Gérard Deltell (Louis-Saint-Laurent, CPC)",,Government Orders,"An Act Respecting First Nations, Inuit and Métis Children, Youth and Families",,"Mr. Speaker, I would like to thank my colleague, the parliamentary secretary.
This problem affects us all. We all care about the well-being of all Canadians. We all care about the well-being of first nations and their children.
What this bill seeks to do is ensure that, when these children face certain unfortunate difficulties, places will be available to them closer to home where they will receive better treatment. 
The thing is, we all know there are jurisdictional issues involved. We certainly do not want this laudable goal to be undermined by procedural issues that would interfere with enacting this law, nor would we want administrative formalities to snuff out the objective.
I would therefore like my colleague to tell me what the government has done to ensure that this legislation can take effect without conflicting with provincial, federal or first nations jurisdiction.",Conservative,Louis-Saint-Laurent,Gérard Deltell,http://www.parl.gc.ca/Parliamentarians/en/members/gerard-deltell(234316)
4777585,ca.proc.d.2019-05-03.10598428,2019-05-03,ffeab63b-041e-4d87-bdad-1b79ff9a98c5,242092,Mr. Dan Vandal,,Government Orders,"An Act Respecting First Nations, Inuit and Métis Children, Youth and Families",,"Mr. Speaker, that is an excellent question.
As members know, off-reserve child and family services have traditionally been a provincial responsibility. That is why we have been working with all provinces from coast to coast from the very beginning.
I personally attended a meeting with the former minister and the Manitoba minister responsible for children and families. That is important, and now their own minister is doing the same thing across Canada.
As I said earlier, this is the beginning of a process. An implementation committee will be created, which should include the provinces, territories and of course the Métis and Inuit nations. Technical discussions regarding responsibility will continue there.",Liberal,Saint Boniface—Saint Vital,Dan Vandal,http://www.parl.gc.ca/Parliamentarians/en/members/dan-vandal(242092)
